MAP::REMOVE_BLIP, 993
HUD::_UIPROMPT_IS_VALID, 987
PED::IS_PED_ON_MOUNT, 987
STREAMING::IS_MODEL_VALID, 970
VOLUME::_DELETE_VOLUME, 962
DATABINDING::_DATABINDING_WRITE_DATA_INT_FROM_PARENT, 955
ENTITY::SET_ENTITY_VISIBLE, 943
ATTRIBUTE::ENABLE_ATTRIBUTE_OVERPOWER, 930
PLAYER::_SET_DEADEYE_ABILITY_LOCKED, 930
TASK::_0x5D9B0BAAF04CF65B, 928
GANG::_0x4BE6C13A45CCA8EC, 927
DATAFILE::_DATAFILE_GET_STRING, 921
MISC::ABSF, 905
UNK_0xD2ADB90D13FA15A8, 894
SCRIPTS::TERMINATE_THIS_THREAD, 886
BUILTIN::VDIST2, 875
ANIMSCENE::SET_ANIM_SCENE_ENTITY, 864
DATAFILE::_0xED4413CEE1BF142C, 849
MISC::ARE_STRINGS_EQUAL, 841
PED::IS_PED_IN_ANY_VEHICLE, 836
SCRIPTS::_0x9E4EF615E307FBBE, 832
PED::IS_PED_DEAD_OR_DYING, 831
PED::IS_PED_A_PLAYER, 828
SCRIPTS::_GET_NUMBER_OF_REFERENCES_OF_SCRIPT_WITH_NAME_HASH, 827
ATTRIBUTE::DISABLE_ATTRIBUTE_OVERPOWER, 825
MISC::GET_RANDOM_FLOAT_IN_RANGE, 821
VOLUME::_0x39816F6F94F385AD, 818
MISC::GET_FRAME_COUNT, 807
UNLOCK::_UNLOCK_IS_VISIBLE, 799
MAP::_BLIP_SET_MODIFIER, 798
DATAFILE::_0x52FC26D2D2FC2987, 789
PED::IS_PED_MALE, 788
BUILTIN::CEIL, 786
PED::IS_PED_HUMAN, 780
GANG::_0x424B17A7DC5C90BC, 775
VOLUME::_IS_POSITION_INSIDE_VOLUME, 768
NETWORK::NETWORK_GET_PLAYER_INDEX, 758
SCRIPTS::GET_EVENT_DATA, 753
PAD::IS_CONTROL_JUST_PRESSED, 746
PED::_0xDF631E4BCE1B1FC4, 743
STREAMING::HAS_MODEL_LOADED, 735
MISC::GET_DISTANCE_BETWEEN_COORDS, 729
STREAMING::REQUEST_MODEL, 729
ANIMSCENE::_IS_ANIM_SCENE_STARTED, 725
NETSHOPPING::_CASHINVENTORY_TRANSACTION_GET_NUM_OF_ITEMS, 722
COMPAPP::_0x74BCCEB233AD95B2, 721
ITEMDATABASE::_ITEM_DATABASE_FILLOUT_ITEM_INFO, 717
